CODGEO;LIBGEO;POP;REVENU_MEDIAN;TAUX_CHOMAGE;CAT_URBAINE;NB_ENTREPRISES
01053;Bourg-en-Bresse;41 365;20 310,50;16,4;2;3512
01004;Ambérieu-en-Bugey;14 208;21 040,00;13,8;3;1104
01033;Belley;8 967;21 780,00;12,1;3;742
01187;Feillens;2 641;24 110,00;nd;4;168
01283;Nantua;3 402;19 640,00;15,9;3;231
02168;Château-Thierry;14 623;19 120,00;18,2;3;1087
02408;Guise;4 875;17 350,00;21,4;3;294
02691;Saint-Quentin;53 084;17 890,00;22,7;2;3960
07010;Annonay;16 340;20 480,00;15,3;3;1215
07186;Privas;8 264;21 220,00;14,7;3;628
14118;Caen;105 512;22 040,00;14,1;1;9873
14488;Ouistreham;9 264;23 380,00;11,9;3;704
29019;Brest;139 456;21 610,00;13,4;1;11240
29232;Quimper;63 283;22 190,00;12,2;2;5316
31555;Toulouse;504 078;23 470,00;13,1;1;62914
31149;Colomiers;39 682;24 830,00;10,4;2;2871
33063;Bordeaux;261 804;24 010,00;12,8;1;33702
33281;Mérignac;72 435;25 160,00;9,6;2;6428
38185;Grenoble;158 198;21 730,00;14,9;1;16094
38229;Meylan;17 890;32 470,00;7,1;2;1663
44109;Nantes;320 732;23 890,00;12,3;1;38471
44184;Saint-Nazaire;72 054;20 940,00;16,1;2;4903
59350;Lille;236 234;20 180,00;17,4;1;27318
59512;Roubaix;98 828;15 240,00;26,9;2;4172
62041;Arras;41 019;20 760,00;16,2;2;3084
62498;Hénin-Beaumont;26 145;17 020,00;23,8;3;1096
69123;Lyon;522 250;24 130,00;12,6;1;67421
69266;Villeurbanne;156 929;21 340,00;15,2;1;11846
75056;Paris;2 133 111;29 480,00;11,8;1;390214
76540;Rouen;114 083;20 350,00;16,7;1;11029
76351;Le Havre;168 290;19 240,00;18,9;1;10874
87085;Limoges;128 682;20 610,00;15,8;1;10233
93066;Saint-Denis;113 116;15 890,00;24,6;2;8712
93048;Montreuil;111 240;20 070,00;18,3;2;9964
95127;Cergy;66 913;20 480,00;17,2;2;4718
95500;Pontoise;31 274;21 930,00;15,1;2;2196
95585;Sarcelles;60 044;15 610,00;25,3;2;2843
95018;Argenteuil;110 388;17 460,00;20,8;2;6031
01450;Vaux-en-Bugey;1 204;25 340,00;nd;4;87
29094;Île-de-Batz;497;20 810,00;nd;4;34
38517;Villard-de-Lans;4 138;23 060,00;nd;4;412
62802;Wissant;1 023;21 470,00;nd;4;96
76217;Étretat;1 216;23 890,00;nd;4;148
59183;Douai;39 508;18 730,00;19,6;2;9999
87154;Saint-Junien;11 245;19 880,00;16,3;3;9999
