IDENT;NOPOSTE;SEXE;AGE;DIPLOME;STATUT;CONTRAT;TEMPS;HEURES;MOTIF_ABS;SALAIRE_NET;PRIME;ANCIENNETE;SECTEUR;REGION
00000262;1;1;38;4;1;1;1;38;;999 999,00;1 182,39;5;GZ;76
00001293;1;1;50;7;1;1;1;26;;999 999,00;;19;OQ;27
00001555;1;2;51;5;2;1;9;42;;4 609,14;511,41;12;FZ;28
00003257;1;2;39;9;1;2;1;35;;999 999,00;;16;AZ;44
00003257;2;2;39;9;1;1;1;35;;2 967,79;;11;OQ;27
00004550;1;2;45;6;1;1;1;99;;2 310,97;;10;GZ;76
00004550;2;2;45;6;1;2;1;35;;2 398,72;;1;OQ;76
00006195;1;2;44;1;1;1;1;34;;2 499,21;1 594,33;6;GZ;11
00006195;2;2;44;1;1;1;2;27;;560,61;490,03;3;FZ;93
00006845;1;1;25;4;1;1;1;32;;1 760,39;;1;BE;32
00009682;1;2;34;4;1;1;1;36;;3 756,13;;7;BE;52
00011201;1;1;62;1;1;1;1;35;;1 549,47;;12;BE;53
00012331;1;1;57;1;1;1;1;33;;1 656,48;;13;HZ;11
00013324;1;2;60;7;1;2;1;42;;4 979,41;2 216,11;2;RU;32
00016089;1;1;30;1;1;1;1;45;;1 683,82;;4;GZ;11
00020534;1;2;53;4;1;1;1;44;;1 544,44;;14;GZ;75
00023756;1;2;32;1;2;3;1;41;1;1 537,76;999 999,00;9;JZ;11
00024381;1;2;52;6;2;1;1;34;;2 262,77;638,29;2;GZ;93
00025046;1;2;60;4;1;1;1;35;;2 851,54;;8;GZ;75
00025253;1;2;28;3;1;1;2;12;;684,00;1 179,90;8;OQ;28
00026117;1;2;59;7;1;1;1;40;;4 026,83;;1;BE;93
00026117;2;2;59;7;1;1;2;23;;1 957,24;1 188,86;12;OQ;84
00028811;1;2;20;6;1;1;2;12;;1 047,28;712,47;4;BE;44
00029087;1;1;53;4;1;1;1;30;2;999 999,00;691,08;12;RU;11
00029520;1;2;27;7;2;9;1;44;;1 994,72;1 319,21;9;BE;24
00029910;1;1;32;5;1;1;1;29;;2 710,05;2 310,63;3;BE;44
00031270;1;1;52;5;1;1;1;45;;5 416,56;;3;OQ;93
00031270;2;1;52;5;1;1;2;25;;1 582,67;;1;FZ;11
00032041;1;1;31;3;1;1;1;50;;2 566,81;;8;OQ;75
00033827;1;1;34;7;1;1;1;36;;3 538,77;999 999,00;1;MN;32
00034669;1;2;46;3;2;1;1;37;;2 945,32;1 336,63;0;BE;11
00034910;1;2;28;3;1;1;2;11;;805,36;954,20;12;FZ;93
00035982;1;1;44;4;1;2;1;33;;4 016,66;;24;OQ;84
00036167;1;2;17;4;3;8;1;60;;0,00;999 999,00;-1;BE;24
00036647;1;2;64;9;1;1;1;27;;4 298,95;;19;GZ;76
00039766;1;2;26;7;1;1;1;46;;3 909,26;;10;RU;11
00040915;1;2;58;7;1;3;1;43;;2 646,35;209,57;8;RU;52
00041860;1;1;50;9;2;1;2;30;;1 297,23;535,97;4;FZ;11
00042175;1;1;39;7;1;1;9;31;;2 257,36;;3;OQ;84
00042634;1;2;19;7;3;8;1;55;;0,00;;-1;OQ;11
00049503;1;2;34;3;1;1;1;36;;1 321,94;;2;OQ;53
00050984;1;2;33;6;1;1;1;32;;3 037,37;;2;MN;32
00051865;1;2;57;1;1;1;1;43;;1 463,05;;18;OQ;32
00053285;1;1;27;3;1;1;1;44;;1 419,76;;7;MN;11
00053946;1;2;55;1;1;1;2;28;;446,47;;1;GZ;76
00054328;1;2;32;5;1;1;1;41;;2 313,17;450,55;2;OQ;53
00055634;1;1;63;4;1;1;1;40;;2 115,93;;16;RU;11
00056407;1;1;48;3;1;1;1;39;1;3 905,82;1 762,00;6;MN;44
00056605;1;2;22;4;2;1;1;56;;2 041,27;1 914,03;0;HZ;76
00058817;1;1;32;9;3;8;1;46;1;0,00;;-1;BE;11
00059389;1;1;51;6;1;1;1;32;5;5 952,31;1 272,99;12;BE;44
00060359;1;1;48;7;1;2;1;38;;3 032,12;1 039,88;18;OQ;84
00060599;1;2;33;7;1;1;1;47;;3 813,57;;17;RU;52
00060994;1;2;24;6;1;1;1;38;;1 379,17;293,31;8;OQ;28
00061275;1;1;56;3;1;3;1;40;;2 994,37;;3;BE;24
00063984;1;2;51;6;1;1;1;41;;1 180,73;;2;JZ;11
00064091;1;1;55;3;2;1;1;33;;1 772,57;;1;GZ;52
00065067;1;1;20;7;1;1;1;60;;1 606,33;1 024,68;4;FZ;11
00068624;1;2;28;5;3;8;2;34;;0,00;;-1;OQ;93
00068886;1;2;41;5;1;1;1;35;;3 086,08;;2;BE;84
00069535;1;1;42;5;1;1;1;40;;999 999,00;300,57;3;BE;93
00069676;1;2;54;3;2;1;2;11;99;1 228,28;4 233,59;3;GZ;84
00071148;1;2;46;4;3;8;2;25;;0,00;999 999,00;-1;BE;32
00072049;1;1;64;5;1;9;2;19;;1 755,49;789,38;8;MN;44
00073027;1;2;33;4;1;1;1;42;;708,56;;0;GZ;76
00073486;1;2;62;1;1;1;1;30;2;2 653,66;;6;FZ;84
00073578;1;1;45;3;2;1;1;41;2;1 562,89;999 999,00;2;JZ;24
00073589;1;2;39;1;1;2;1;32;1;1 542,02;;5;OQ;11
00074171;1;1;35;3;2;1;1;33;;2 859,04;;8;MN;84
00075326;1;1;27;6;1;1;1;36;;4 593,94;;5;BE;44
00076549;1;2;45;6;2;1;1;41;;2 952,25;;9;GZ;11
00076855;1;1;28;6;1;1;1;37;;2 625,06;;7;BE;44
00078282;1;2;33;3;2;9;1;41;;999 999,00;;8;JZ;11
00079556;1;1;46;5;2;1;1;43;1;4 717,85;;5;OQ;84
00080777;1;2;46;7;2;1;1;42;;5 817,11;999 999,00;7;OQ;32
00081538;1;2;26;3;1;1;1;60;;2 368,63;;8;FZ;11
00081538;2;2;26;3;1;1;1;36;;1 589,97;999 999,00;4;OQ;44
00081582;1;2;48;5;1;1;1;34;1;3 298,86;;5;BE;28
00082684;1;2;53;3;3;8;1;41;;0,00;;-1;OQ;75
00083180;1;2;25;4;1;3;1;36;;3 466,04;;1;RU;28
00083292;1;1;33;1;1;2;1;40;;1 604,63;;1;HZ;52
00084286;1;1;27;3;2;1;1;31;;1 822,74;680,56;11;HZ;75
00084457;1;2;44;7;1;1;1;57;;6 182,16;;14;MN;44
00084939;1;2;37;7;2;2;2;26;1;999 999,00;;2;HZ;84
00084948;1;1;48;7;2;1;1;42;1;5 166,45;;3;GZ;84
00085232;1;1;44;9;3;8;1;56;;0,00;;-1;FZ;44
00085755;1;2;51;5;2;1;1;33;;1 864,59;750,63;8;MN;76
00088007;1;2;15;7;1;1;1;38;;3 126,17;1 026,25;0;AZ;84
00088191;1;2;23;5;3;8;1;60;;0,00;;-1;BE;28
00088191;2;2;23;5;3;8;2;33;2;0,00;;-1;BE;11
00088536;1;2;37;9;2;1;1;38;;1 803,35;;2;GZ;84
00088703;1;2;47;1;1;1;2;26;;822,81;;24;OQ;27
00088728;1;1;37;3;3;8;1;57;;0,00;;-1;FZ;32
00091884;1;2;29;5;1;1;1;41;;2 717,78;737,20;6;OQ;24
00091884;2;2;29;5;1;2;9;13;;1 287,39;962,89;2;GZ;32
00091907;1;1;44;4;1;1;1;41;;4 163,00;;25;OQ;84
00092110;1;2;62;9;2;1;1;35;;2 344,75;;18;OQ;44
00092904;1;2;35;3;1;1;1;39;;2 950,65;3 540,44;17;GZ;27
00093060;1;2;38;5;1;2;1;41;;3 732,20;;2;OQ;11
00093752;1;1;37;4;1;1;9;41;;1 792,57;573,11;15;BE;93
00094269;1;2;43;4;1;1;1;27;;2 322,76;;15;HZ;75
00096887;1;1;61;3;1;3;1;46;;3 293,91;;6;OQ;44
00097397;1;1;50;4;3;8;2;52;;0,00;;-1;MN;11
00099518;1;1;52;4;1;1;1;45;;4 529,72;1 070,50;1;MN;11
00104955;1;1;57;4;2;2;1;53;1;3 105,34;;3;OQ;27
00107552;1;1;30;6;2;2;1;32;;4 026,42;;14;OQ;32
00107853;1;2;41;3;3;8;2;99;;0,00;;-1;OQ;84
00111649;1;1;55;6;1;2;1;32;;2 887,02;;3;GZ;28
00111993;1;2;20;4;1;2;1;40;;999 999,00;2 071,58;4;BE;75
00112385;1;2;35;7;1;2;1;60;;3 242,60;;9;OQ;32
00114463;1;1;53;1;1;1;1;42;;2 242,29;333,09;12;GZ;84
00117928;1;1;46;4;2;1;1;32;;1 696,39;;2;JZ;11
00120285;1;2;54;7;1;1;1;31;4;2 041,30;;3;OQ;32
00121396;1;1;51;3;1;1;1;49;;4 614,68;999 999,00;7;JZ;44
00122918;1;2;35;5;2;2;2;17;;1 642,11;;1;HZ;28
00124093;1;1;54;6;1;1;1;44;9;3 247,78;1 592,51;6;BE;76
00125225;1;2;41;4;1;1;1;40;;3 013,01;;7;MN;84
00125774;1;1;55;4;1;1;2;10;;2 470,07;;1;JZ;11
00127876;1;1;42;9;1;1;1;32;;3 548,36;;3;BE;11
00128039;1;1;54;3;1;1;1;40;;2 340,60;999 999,00;1;OQ;93
00128354;1;2;38;7;1;1;1;37;;3 621,36;;3;GZ;44
00128967;1;2;41;1;2;1;9;39;;1 251,36;896,93;1;OQ;75
00129791;1;2;28;4;1;1;1;34;;1 810,01;446,04;2;GZ;76
00129791;2;2;28;4;1;1;2;99;1;775,09;999 999,00;2;HZ;11
00132477;1;2;41;7;2;1;1;34;;2 753,08;1 115,29;1;RU;52
00132706;1;2;34;3;1;1;1;52;;1 298,40;845,72;0;OQ;44
00134326;1;2;26;2;1;2;1;34;;1 887,46;387,21;2;MN;52
00135557;1;2;63;3;3;8;2;38;;0,00;;-1;BE;11
00136114;1;2;43;9;1;1;1;51;;1 904,53;227,64;8;GZ;53
00136114;2;2;43;9;1;2;2;18;;1 006,97;919,48;2;OQ;84
00137494;1;1;26;4;1;1;1;37;;1 288,78;;5;FZ;44
00137973;1;2;34;7;3;8;1;54;;0,00;999 999,00;-1;OQ;32
00142913;1;2;42;5;1;1;1;37;;3 823,91;591,60;11;AZ;32
00146752;1;1;51;3;1;1;9;35;;2 097,88;;1;BE;93
00148514;1;2;23;3;2;1;1;99;;999 999,00;738,17;5;JZ;11
00150484;1;2;25;4;1;1;2;22;;921,69;;9;OQ;32
00150499;1;2;44;4;1;1;1;35;;1 892,11;1 610,29;0;BE;75
00154770;1;1;52;7;1;2;1;41;;6 629,10;;3;GZ;84
00155941;1;1;42;1;1;1;1;39;;2 030,81;1 774,84;2;BE;44
00157524;1;1;21;9;1;1;1;31;;2 282,44;2 720,82;5;RU;93
00157661;1;1;54;6;1;3;1;38;;3 966,44;3 742,14;2;FZ;52
00162821;1;2;46;7;1;1;1;41;;2 657,03;936,66;9;BE;93
00163336;1;2;48;7;2;1;1;33;;10 000,00;2 164,14;8;GZ;75
00163336;2;2;48;7;2;1;1;35;;999 999,00;1 536,87;1;BE;76
00164202;1;1;42;3;1;1;9;30;;2 542,76;;1;HZ;84
00164202;2;1;42;3;1;1;1;40;2;4 645,88;2 421,57;2;BE;24
00164300;1;1;47;7;1;1;1;41;;2 278,55;;6;OQ;75
00165376;1;1;45;4;1;2;9;59;2;2 580,15;;0;BE;93
00165936;1;2;46;4;1;3;1;40;;1 821,26;;1;OQ;28
00166189;1;2;57;7;1;1;1;32;;3 387,59;539,85;4;MN;44
00169244;1;1;21;1;1;1;1;36;;2 054,97;1 798,58;2;GZ;76
00169427;1;2;27;4;1;1;2;12;;2 598,45;;11;OQ;93
00169502;1;2;23;6;1;1;1;43;;1 893,83;;5;JZ;84
00171366;1;2;29;7;1;9;1;41;;4 952,86;;9;JZ;84
00171637;1;2;51;1;1;1;1;39;;1 571,17;515,84;7;GZ;52
00172255;1;2;56;7;2;1;1;32;;2 149,24;;2;GZ;84
00172547;1;1;56;5;2;1;1;35;;5 548,24;;1;GZ;11
00174110;1;1;30;4;2;1;1;33;;1 969,14;;4;BE;11
00174765;1;2;33;6;1;1;1;48;2;1 779,80;;10;BE;28
00174910;1;1;23;5;1;1;1;28;;1 268,95;;2;MN;75
00175234;1;2;26;6;1;1;1;56;;999 999,00;;2;GZ;32
00177107;1;2;40;3;3;8;1;60;;0,00;999 999,00;-1;RU;75
00177610;1;2;35;3;2;1;9;29;;1 856,27;;3;OQ;75
00177801;1;2;63;7;3;8;1;49;;0,00;;-1;FZ;52
00177836;1;2;56;7;1;2;1;48;;3 587,64;2 649,41;11;BE;44
00182382;1;1;39;6;1;3;1;50;;1 345,05;;2;OQ;11
00183472;1;1;40;6;1;2;1;32;;8 346,06;2 205,59;12;GZ;75
00185313;1;2;51;3;1;1;1;26;;1 588,66;;13;BE;52
00185530;1;2;57;3;2;9;9;60;;3 870,67;461,95;0;JZ;44
00187184;1;2;57;5;2;1;2;21;;1 114,35;476,77;8;OQ;93
00188400;1;2;43;4;1;1;1;40;;2 356,07;483,77;0;HZ;93
00188902;1;1;18;3;2;1;2;25;1;1 259,74;;2;OQ;28
00188902;2;1;18;3;2;1;2;27;;1 124,59;1 201,09;0;OQ;44
00189096;1;1;46;9;1;2;1;60;;4 397,51;;7;MN;84
00189276;1;2;30;7;2;1;1;46;;999 999,00;1 502,13;4;GZ;11
00190670;1;2;41;9;1;1;2;18;;1 130,27;1 635,03;2;OQ;11
00190670;2;2;41;9;1;1;2;99;;792,74;;16;OQ;76
00190994;1;1;57;3;1;1;2;9;;1 413,38;;4;HZ;75
00191915;1;1;64;4;1;1;1;38;;2 211,18;;6;RU;32
00198253;1;1;62;1;1;9;2;28;;1 108,93;;15;BE;24
00198514;1;1;22;6;2;1;1;39;;999 999,00;;1;MN;76
00198619;1;1;23;1;1;1;1;60;;1 259,00;;1;HZ;11
00198777;1;2;27;2;1;2;2;30;;988,62;;6;BE;44
00198777;2;2;27;2;1;1;2;13;;1 222,22;565,63;7;OQ;32
00203973;1;2;55;6;1;1;1;34;;2 756,36;1 086,94;3;MN;28
00204285;1;2;37;9;2;1;2;29;;999 999,00;1 217,50;18;OQ;27
00205994;1;2;57;9;2;2;1;30;;2 912,84;;7;GZ;53
00207142;1;1;59;5;2;1;1;37;;999 999,00;;7;GZ;24
00207845;1;1;54;9;2;1;1;33;1;3 221,89;;19;OQ;28
00208255;1;1;30;2;1;1;1;43;;1 915,48;;3;HZ;75
00211365;1;1;54;3;1;1;1;39;1;4 135,83;976,45;2;OQ;27
00211523;1;2;36;5;1;2;1;41;;1 963,06;742,31;5;MN;11
00213627;1;2;35;7;1;1;2;28;1;999 999,00;781,30;3;OQ;52
00216826;1;1;55;3;1;1;1;21;;4 092,61;489,19;2;GZ;93
00217080;1;2;42;2;1;1;1;40;;1 329,38;;1;MN;93
00217968;1;1;44;2;2;1;1;33;;1 704,90;;6;OQ;84
00218043;1;2;26;1;1;1;2;99;;581,12;;9;OQ;24
00219600;1;2;35;3;1;1;1;46;;4 531,10;;9;BE;32
00219841;1;2;50;6;3;8;1;60;;0,00;;-1;FZ;76
00221601;1;1;37;2;1;1;1;46;;2 405,19;;0;OQ;76
00221601;2;1;37;2;1;3;2;24;;1 951,27;;13;OQ;27
00221704;1;1;24;7;1;2;9;38;;4 226,86;;2;OQ;11
00222113;1;1;23;1;2;1;1;38;;1 525,91;1 086,00;0;GZ;44
00222212;1;2;43;3;1;1;2;18;;1 227,08;;7;GZ;11
00224413;1;1;28;7;1;1;1;39;;2 409,25;1 374,48;4;OQ;44
00225312;1;1;33;4;2;1;1;44;;2 091,05;1 416,08;17;HZ;11
00226229;1;1;56;6;1;1;1;36;;2 877,34;;5;MN;24
00227751;1;1;59;3;1;2;1;50;;3 136,33;;8;FZ;24
00228821;1;1;39;2;1;1;1;40;;1 114,08;;11;MN;27
00229051;1;1;55;1;2;1;1;42;;1 844,96;;3;JZ;84
00231404;1;2;18;3;2;1;2;20;;1 164,65;1 221,42;2;MN;11
00233485;1;2;55;4;1;1;1;34;;5 467,35;;4;JZ;76
00239495;1;1;23;7;1;1;1;49;;4 268,54;;6;GZ;76
00239802;1;2;39;7;1;1;1;45;;1 729,28;2 265,90;0;MN;84
00240445;1;2;31;4;2;1;2;13;;1 905,69;;6;AZ;75
00240445;2;2;31;4;2;1;2;15;;2 072,01;;8;GZ;53
00241404;1;1;35;3;1;2;2;25;;1 818,02;;1;OQ;52
00242726;1;2;26;5;1;1;1;27;;2 241,92;969,16;3;GZ;24
00243189;1;1;25;9;2;1;1;60;;1 839,64;;2;FZ;53
00246697;1;1;39;7;1;1;1;32;;4 136,62;741,20;3;JZ;76
00249236;1;2;38;4;1;1;2;12;99;1 340,60;884,20;10;GZ;11
00252665;1;1;50;4;1;1;1;38;;999 999,00;432,66;3;AZ;84
00253234;1;1;27;7;1;1;1;60;;3 906,38;999 999,00;3;FZ;93
00256702;1;2;35;5;1;1;1;46;;1 657,33;;6;MN;32
00257229;1;1;34;3;1;1;2;17;;725,20;;15;BE;75
00257985;1;1;34;1;2;2;1;34;;2 853,58;698,66;6;OQ;32
00258567;1;1;34;5;1;1;1;44;;4 081,69;;18;FZ;93
00258567;2;1;34;5;1;9;2;23;1;2 838,39;310,37;7;OQ;75
00258578;1;1;36;7;1;1;2;25;9;3 206,46;;7;OQ;44
00260863;1;1;35;4;1;1;1;32;;3 092,15;562,48;4;FZ;52
00262468;1;2;40;7;2;1;1;50;;4 831,09;;5;GZ;27
00263712;1;1;49;3;1;1;1;30;;1 701,42;1 397,40;0;GZ;53
00263866;1;1;39;4;1;1;1;37;;3 263,40;;2;RU;32
00263875;1;2;58;4;1;2;1;33;2;2 897,65;;1;OQ;93
00266551;1;1;52;5;2;1;1;39;;2 821,27;5 289,64;1;BE;75
00268792;1;2;36;6;1;1;1;32;;3 029,78;2 105,22;3;BE;52
00269334;1;1;60;7;3;8;1;60;;0,00;;-1;RU;27
00269603;1;2;54;4;1;1;2;17;;1 606,64;;15;OQ;52
00271180;1;1;38;3;1;1;1;37;;3 900,72;3 010,76;6;MN;84
00274985;1;2;60;3;1;1;2;12;1;1 753,06;225,04;27;OQ;53
00278137;1;2;42;2;1;1;1;49;;1 754,39;421,19;9;OQ;84
00278234;1;1;63;4;1;9;2;8;;1 245,36;;5;OQ;76
00279541;1;2;64;4;2;2;2;24;;1 917,45;920,85;20;OQ;76
00281236;1;1;29;3;2;3;1;31;;2 079,91;1 265,22;5;HZ;24
00284246;1;2;31;4;1;1;1;42;;2 528,69;;5;MN;11
00284460;1;1;34;4;1;1;1;44;;2 849,48;751,69;7;BE;52
00285004;1;1;22;6;1;3;1;45;1;2 173,81;;1;MN;53
00285986;1;2;30;4;2;1;1;37;2;999 999,00;;1;BE;84
00287688;1;1;51;6;1;1;1;44;;2 754,41;;5;JZ;44
00288133;1;2;27;2;1;1;1;40;4;1 769,27;;1;RU;84
00290365;1;1;31;4;2;1;1;34;;2 500,40;;4;RU;75
00290698;1;1;31;4;1;1;2;13;;1 354,61;2 361,69;7;MN;32
00292117;1;1;42;6;3;8;1;36;;0,00;;-1;JZ;52
00292588;1;2;37;4;3;8;1;60;;0,00;;-1;AZ;75
00292677;1;2;30;1;1;1;2;13;;1 680,38;354,85;2;OQ;76
00293617;1;1;35;1;1;2;9;99;;1 526,31;540,78;1;MN;93
00293930;1;1;34;4;1;1;1;41;;1 968,53;887,51;1;OQ;76
00293930;2;1;34;4;1;2;2;24;;1 003,94;1 231,99;1;GZ;11
00294959;1;1;27;4;2;1;1;35;;2 187,17;1 991,28;11;FZ;24
00295282;1;2;33;3;1;2;1;41;;1 228,52;1 738,07;6;OQ;52
00295393;1;2;55;7;1;1;1;32;;7 505,69;;11;OQ;84
00296154;1;2;54;1;1;1;2;19;;1 649,95;1 259,88;8;OQ;76
00298696;1;2;37;3;1;1;1;37;;999 999,00;;5;FZ;76
00299712;1;2;40;4;1;1;1;38;;4 305,75;;2;BE;11
00301813;1;2;27;1;2;1;1;39;;1 943,23;;1;MN;93
00302482;1;2;42;9;1;3;2;28;;2 172,42;;25;JZ;53
00303057;1;2;49;5;1;2;1;43;;2 564,06;;11;BE;84
00303979;1;1;35;1;1;1;1;44;;1 904,42;782,53;3;OQ;27
00303979;2;1;35;1;1;1;2;10;;1 554,91;598,69;4;FZ;84
00304164;1;1;33;4;1;1;1;45;;3 270,24;;17;GZ;53
00304841;1;1;44;4;1;2;1;51;;2 537,66;999 999,00;4;OQ;52
00304882;1;2;39;6;1;1;1;38;;2 440,25;699,16;3;OQ;44
00304986;1;2;43;5;2;3;2;30;;1 500,06;;10;OQ;76
00307139;1;2;55;5;1;1;1;34;;2 762,86;1 155,67;0;AZ;32
00307410;1;1;34;2;1;1;1;99;;3 034,31;;8;MN;76
00309193;1;2;26;3;1;2;2;24;;1 104,11;;10;OQ;24
00309560;1;2;31;4;2;1;2;30;;1 420,57;;3;JZ;11
00310696;1;2;21;1;1;1;2;21;;1 158,95;;2;OQ;32
00312791;1;1;41;1;1;1;1;41;;4 209,48;763,62;25;OQ;84
00314988;1;1;42;3;1;1;1;39;9;999 999,00;;1;BE;32
